OBD times,OBD rpm,OBD coolant temperature,OBD engine load,OBD velocity
268,2130.013734,47.28993986,29.7616633,41.9522333
269,1604.553005,47.55640916,29.92936428,43.56638503
270,1607.982169,47.86650537,30.12452163,44.95614322
271,1719.155711,48.14886855,30.30222534,46.12080012
272,1803.286973,48.39630455,30.45794783,46.15100599
273,1355.147122,48.59435137,30.5825875,45.72559229
274,1302.878197,48.79342785,30.70787519,44.77296135
275,1336.631227,48.98876235,30.83080788,42.39193217
276,1337.506627,49.08945881,30.89418064,39.45521405
277,1325.177672,49.1505659,30.93263805,36.13359105
278,1297.569386,49.1840862,30.95373387,32.51659863
279,1228.564556,49.17949948,30.95084724,28.01506622
280,1143.455253,49.18614458,30.9550293,22.69221312
281,1455.547548,49.19338955,30.95958888,20.14407049
282,1397.702913,49.18862902,30.95659287,20.83256937
283,1204.207738,49.18543075,30.95458005,24.25714868
284,1452.407496,49.18996226,30.95743193,28.1281119
285,1397.971754,49.20400053,30.96626684,32.00128529
286,1445.752663,49.30313895,31.02865906,35.44540822
287,1683.413922,49.52887678,31.17072592,38.81057077
288,1952.053631,49.80977405,31.34750707,42.26370649
289,2220.846723,50.13208302,31.55035044,45.64264932
290,1671.220584,50.41370297,31.72758641,48.16718308
291,1668.244838,50.73034553,31.92686367,49.64304884
292,1816.675426,51.08108229,32.14759791,49.90172692
293,1961.916886,51.45264696,32.38144009,49.02146164
294,1500.550511,51.7455725,32.56579117,47.91639055
295,1438.709847,51.97739908,32.71168995,47.18252456
296,1446.206621,52.10723334,32.79340043,46.74654033
297,1420.69557,52.14345743,32.81619786,46.67101567
298,1388.669402,52.17658673,32.8370476,46.84281577
299,1367.401163,52.21998211,32.86435824,47.13383782
300,1354.765863,52.2797376,32.90196503,47.30280294
301,1352.577076,52.3673032,32.95707396,47.25455292
302,1357.55603,52.47470164,33.02466458,46.95804526
303,1365.990168,52.59222998,33.09863039,46.33606175
304,1370.886962,52.70156878,33.16744216,45.40075611
305,1369.488623,52.79385427,33.22552153,44.09524514
306,1360.895507,52.86549375,33.27060744,42.56074158
307,1342.869745,52.91238211,33.30011637,41.24889406
308,1315.763565,52.93214815,33.31255602,40.48354191
309,1277.928429,52.94127806,33.31830188,40.05561105
310,1233.456838,52.9357143,33.31480036,39.79625312
311,1195.438062,52.94759893,33.32227988,39.02620888
312,1173.257319,52.98141213,33.34356004,38.52250615
313,1160.855415,53.02870095,33.37332099,37.74012798
314,1153.338939,53.08828813,33.41082185,36.53778502
315,1583.650593,53.14868029,33.44882933,35.04354413
316,1655.862585,53.22182015,33.4948595,33.54980215
317,1622.232615,53.27551739,33.52865356,32.25624877
318,1570.550756,53.2929772,33.5396418,30.7386487
319,1506.321872,53.3012409,33.54484251,28.88838327
320,1442.114433,53.31833785,33.55560238,26.93889689
321,1386.511959,53.33350942,33.56515053,24.94854801
322,1321.278997,53.33127613,33.56374502,24.57051767
323,1241.746651,53.32544691,33.56007643,24.37928103
324,1157.949363,53.32851818,33.56200931,24.25763164
325,1586.705836,53.37914229,33.59386932,23.84461118
326,1705.161313,53.47425001,33.65372484,23.68855937
327,1691.889745,53.55440708,33.70417125,23.61425702
328,1683.447438,53.63835672,33.75700449,23.35162478
329,1654.784367,53.70768757,33.80063749,21.82682052
330,1643.954578,53.78548246,33.84959727,18.89714451
331,1638.798093,53.86719546,33.9010229,17.05948612
332,1620.571764,53.93967324,33.94663639,16.66456727
333,1514.752373,53.97450468,33.96855736,16.24445542
334,1311.436747,53.96859643,33.96483904,15.66481452
335,1183.905693,53.98601565,33.97580173,15.25041143
336,1156.498849,54.0297699,34.00333822,14.69959108
337,1127.343644,54.0724187,34.03017901,14.32019736
338,1087.117335,54.10802277,34.05258624,14.28068264
339,1058.358311,54.14733463,34.07732694,14.78257191
340,1020.13211,54.18124587,34.09866879,16.35087379
341,993.8026891,54.21815192,34.12189541,19.30660067
342,991.0604199,54.26413312,34.15083343,22.69374757
343,1025.890869,54.32611889,34.18984383,24.79998333
344,1134.728938,54.42523925,34.25222469,25.38868922
345,1339.852461,54.59054052,34.35625613,25.58274256
346,1574.91596,54.79964593,34.48785547,26.04974335
347,1721.085926,54.97702231,34.59948631,26.61196109
348,1761.941333,55.09314032,34.67256455,26.92282827
349,1775.408377,55.19355853,34.73576219,27.64588939
350,1807.817612,55.30574914,34.80636874,28.09582513
351,1846.834777,55.42661116,34.88243258,28.34763618
352,1868.408547,55.53729347,34.95208989,28.33749178
353,1313.365091,55.62880533,35.00968237,28.19045975
354,1207.679102,55.71082715,35.06130235,28.04478588
355,1218.503021,55.78958443,35.11086781,27.94737836
356,1218.066971,55.85557823,35.15240064,27.99533831
357,1211.746904,55.91393341,35.18912616,28.15365359
358,1205.485216,55.97190989,35.22561333,28.15700231
359,1201.298223,56.03197919,35.26341762,27.60300015
360,1203.359747,56.09917771,35.30570864,26.03865092
361,1210.164817,56.17240774,35.35179555,23.58572612
362,1210.30876,56.23840175,35.39332852,22.12527827
363,1186.49537,56.27930418,35.41907024,21.15525029
364,1119.252928,56.29733181,35.43041583,20.61966549
365,1497.645612,56.32968513,35.45077721,20.46241585
366,1535.464945,56.36697397,35.47424474,20.57168569
367,1468.14629,56.40609973,35.49886832,20.85886224
368,1430.977416,56.45638479,35.53051495,21.53219398
369,1420.0645,56.51826546,35.5694592,22.7094596
370,1427.647681,56.59049157,35.61491431,23.89395122
371,1447.577353,56.66955325,35.66467135,24.44613095
372,1494.305682,56.7655468,35.72508436,24.23254205
373,1576.006353,56.88576738,35.80074451,22.61352136
374,1658.2085,57.01394698,35.88141364,19.46466556
375,1696.52904,57.121617,35.94917518,15.96446805
376,1681.706254,57.1996986,35.9983154,13.04326719
377,1569.348367,57.22570178,36.01468036,11.05836552
378,1350.821954,57.21908628,36.01051693,9.535268487
379,1107.912893,57.21919111,36.0105829,8.426170085
380,902.451732,57.22899905,36.01675548,7.571700899
381,749.8501935,57.24864419,36.02911904,6.61196732
382,750,57.27749485,36.04727604,5.453617047
383,750,57.30629644,36.06540216,4.247574978
384,750,57.33508941,36.08352286,2.940186268
385,750,57.363873,36.10163766,1.536728897
386,750,57.39264896,36.11974765,0.400029826
387,750,57.42141835,36.1378535,0.000135569
388,7.00E+02,57.44750047,36.15426814,4.69022E-06
389,2.26E+02,57.44754824,36.1542982,1.43E-06
390,0.523262019,57.44104594,36.15020602,6.35E-07
391,8.92845E-06,57.43455206,36.14611913,3.34E-07
392,8.90491E-11,57.42806069,36.14203383,2.21E-07
393,0,57.42157063,36.13794934,4.53E-01
394,0,57.41508186,36.13386567,2.754406043
395,0,57.40859439,36.12978281,5.944874453
396,0,57.40210822,36.12570078,10.057263
397,581.4631674,57.44158038,36.15054237,14.55956512
398,757.6338732,57.50601512,36.19109401,18.78968951
399,793.5873403,57.57703532,36.23579018,22.73265175
400,1217.836863,57.7013712,36.31404029,25.22198069
401,1763.02192,57.89311846,36.43471537,25.93135399
402,1457.279808,58.07415231,36.54864803,25.52314288
403,1577.615858,58.29283586,36.68627531,24.28508733
404,1750.371982,58.48466114,36.8069995,22.55539563
405,1799.601548,58.60664714,36.88377072,20.94581172
406,1771.272239,58.68189008,36.93112445,19.44367519
407,1685.352827,58.71672941,36.95305039,17.83903711
408,1565.314519,58.74626901,36.97164097,16.085063
409,1453.611532,58.7513798,36.97485742,14.72883503
410,1349.36525,58.78124885,36.99365535,13.93368941
411,1238.005497,58.78793583,36.99786376,13.78912096
412,1116.282022,58.80713987,37.00994971,13.96336904
413,1022.161601,58.82316914,37.02003765,14.24766214
414,966.9795505,58.84471708,37.03359872,14.62563863
415,956.9466922,58.88297083,37.05767351,15.29598542
416,969.0392778,58.93085521,37.08780928,16.54748952
417,988.7688412,58.98316195,37.12072824,18.03977253
418,1014.999908,59.03965775,37.15628356,19.01721202
419,1061.521086,59.10559,37.19777766,19.02754243
420,1148.373809,59.19254676,37.25250342,18.30206507
421,1251.936269,59.29547014,37.31727768,17.1302405
422,1319.769273,59.38883621,37.3760371,16.34109292
423,1320.486189,59.46621564,37.42473542,16.17304093
424,1270.139023,59.52732892,37.46319673,16.64690477
425,1188.815953,59.5726873,37.49174278,17.97563615
426,1134.050159,59.6267423,37.52576199,20.76710784
427,1122.387573,59.69755954,37.57033043,25.03840698
428,1155.273095,59.78849295,37.62755887,29.64992799
429,1247.485289,59.913366,37.70614704,32.83612892
