times,alternator currents,battery currents,velocities
993,0,-21.42638506,1.21165E-07
994,0,-21.42638506,7.84389E-08
995,0,-21.42638506,5.24899E-08
996,0,-21.42638506,3.60199E-08
997,0,-21.42638506,2.5207E-08
998,0,-21.42638506,1.79171E-08
999,0,-21.42638506,1.28969E-08
1000,0,-21.42638506,9.37961E-09
1001,0,-21.42638506,6.88E-09
1002,0,-21.42638506,5.0826E-09
1003,0,-21.42638506,3.77732E-09
1004,0,-21.42638506,2.82151E-09
1005,0,-21.42638506,2.11666E-09
1006,0,-21.42638506,1.59374E-09
1007,0,-21.42638506,1.20379E-09
1008,0,-21.42638506,9.11728E-10
1009,0,-21.42638506,6.9214E-10
1010,0,-21.42638506,5.26501E-10
1011,0,-21.42638506,3.65793E-10
1012,0,-21.42638506,6.64565E-20
1013,0,-21.42638506,6.64565E-20
1014,0,-21.42638506,6.64565E-20
1015,0,-21.42638506,6.64565E-20
1016,0,-21.42638506,6.64565E-20
1017,0,-21.42638506,6.64565E-20
1018,0,-21.42638506,6.64565E-20
1019,0,-21.42638506,6.64565E-20
1020,0,-21.42638506,6.64565E-20
1021,0,-21.42638506,6.64565E-20
1022,0,-21.42638506,6.64565E-20
1023,0,-21.42638506,6.64565E-20
1024,0,-21.42638506,6.64565E-20
1025,0,-21.42638506,6.64565E-20
1026,0,-21.42638506,6.40932E-20
1027,0,-21.42638506,0
1028,0,-185.1423458,0.794158701
1029,0,-53.37096277,4.874048909
1030,0,-21.42638506,10.73539673
1031,0,-21.42638506,17.05228456
1032,0,-21.42638506,22.0457094
1033,0,-21.42638506,26.25087684
1034,0,-21.42638506,29.99725161
1035,0,-21.42638506,33.20681577
1036,0,-21.42638506,36.22972928
1037,0,-21.42638506,38.7399418
1038,0,-21.42638506,40.75238383
1039,0,-21.42638506,42.66871549
1040,0,-21.42638506,44.88144207
1041,0,-21.42638506,47.28724089
1042,0,-21.42638506,49.32121185
1043,0,-21.42638506,51.12529705
1044,0,-21.42638506,52.38883938
1045,0,-21.42638506,52.93531151
1046,0,-21.42638506,53.06409193
1047,0,-21.42638506,53.14139421
1048,0,-21.42638506,53.29524643
1049,0,-21.42638506,53.32995626
1050,0,-21.42638506,52.89968229
1051,-87.17879931,65.73907181,51.65545709
1052,-101.3706969,79.92879735,49.82933408
1053,-101.3706969,79.92879735,47.67005343
1054,-101.3706969,79.92879735,45.12116999
1055,-101.3706969,79.92879735,41.97372363
1056,-101.3706969,79.92879735,38.02668831
1057,-24.32896725,2.898858716,32.66144629
1058,-75.01431568,53.57644992,27.50006095
1059,-101.3706969,79.92879735,22.72579306
1060,-101.3706969,79.92879735,18.43796926
1061,-101.3706969,79.92879735,14.69167252
1062,-32.438623,11.00727331,12.39015249
1063,0,-21.42638506,11.66939628
1064,0,-21.42638506,12.01762295
1065,0,-21.42638506,13.67233405
1066,0,-21.42638506,17.3658549
1067,0,-21.42638506,21.72262018
1068,0,-21.42638506,24.29676028
1069,0,-21.42638506,25.18189916
1070,0,-21.42638506,25.98604659
1071,0,-21.42638506,27.69058689
1072,0,-21.42638506,29.99232027
1073,0,-21.42638506,33.23530581
1074,0,-21.42638506,37.26415965
1075,0,-21.42638506,41.94067568
1076,0,-21.42638506,46.94727133
1077,0,-21.42638506,51.48659162
1078,0,-21.42638506,55.13887269
1079,0,-21.42638506,57.69892598
1080,0,-21.42638506,60.04457273
1081,0,-21.42638506,62.07389413
1082,0,-21.42638506,63.08732699
1083,0,-21.42638506,63.2101204
1084,-34.46603694,13.03437696,62.20295132
1085,-101.3706969,79.92879735,60.43356575
1086,-70.95948781,49.52224263,59.09463896
1087,0,-21.42638506,58.55176788
1088,0,-21.42638506,58.48793037
1089,0,-21.42638506,58.60670363
1090,0,-21.42638506,58.72532767
1091,0,-21.42638506,58.76823505
1092,0,-21.42638506,58.86174003
1093,0,-21.42638506,59.33435271
1094,0,-21.42638506,60.49377162
1095,0,-21.42638506,62.09098482
1096,0,-21.42638506,63.39329144
1097,0,-21.42638506,64.05563024
1098,0,-21.42638506,64.08739441
1099,-4.054827875,-17.37217777,63.35305753
1100,-101.3706969,79.92879735,61.59909645
1101,-101.3706969,79.92879735,59.79082067
1102,0,-21.42638506,58.70598438
1103,0,-21.42638506,58.04678911
1104,0,-21.42638506,58.81175713
1105,0,-21.42638506,60.64850952
1106,0,-21.42638506,62.40820362
1107,0,-21.42638506,63.83425152
1108,0,-21.42638506,64.49411663
1109,0,-21.42638506,64.25806928
1110,-85.15138537,63.71196816,63.02471733
1111,-18.24672544,-3.182452229,61.75959705
1112,0,-21.42638506,60.83261841
1113,0,-21.42638506,61.33373909
1114,0,-21.42638506,63.28515347
1115,0,-21.42638506,66.15799171
1116,0,-21.42638506,68.28878363
1117,0,-21.42638506,69.52558691
1118,0,-21.42638506,69.74962248
1119,0,-21.42638506,69.0655917
1120,-70.95948781,49.52224263,67.75574952
1121,-32.438623,11.00727331,66.65979889
1122,0,-21.42638506,65.98327711
1123,0,-21.42638506,65.35108565
1124,-62.84983206,41.41382803,64.11823841
1125,-101.3706969,79.92879735,61.750676
1126,-101.3706969,79.92879735,57.97979552
1127,-101.3706969,79.92879735,53.01619131
1128,-101.3706969,79.92879735,47.59241194
1129,-101.3706969,79.92879735,42.37527602
1130,-101.3706969,79.92879735,37.88967962
1131,-101.3706969,79.92879735,34.04534391
1132,-101.3706969,79.92879735,30.90869321
1133,-101.3706969,79.92879735,27.8324067
1134,-101.3706969,79.92879735,24.07263866
1135,-101.3706969,79.92879735,20.58101045
1136,-101.3706969,79.92879735,17.35267385
1137,-62.84983206,41.41382803,15.03163222
1138,0,-21.42638506,14.06085249
1139,0,-21.42638506,13.91712172
1140,0,-21.42638506,14.18006262
1141,0,-21.42638506,14.64536387
1142,0,-21.42638506,15.5373991
1143,0,-21.42638506,17.50551567
1144,0,-21.42638506,20.73336206
1145,0,-21.42638506,23.61161419
1146,0,-21.42638506,24.84000326
1147,-26.35638119,4.925962364,23.99291951
1148,-101.3706969,79.92879735,20.13862237
1149,-101.3706969,79.92879735,15.59112442
1150,-75.01431568,53.57644992,12.80382651
1151,0,-21.42638506,11.83148038
1152,0,-21.42638506,11.81010576
1153,0,-21.42638506,12.57053939
1154,0,-21.42638506,15.39049896
1155,0,-21.42638506,20.11796073
1156,0,-21.42638506,25.25260909
1157,0,-21.42638506,29.51312603
1158,0,-21.42638506,33.44562502
1159,0,-21.42638506,37.11054194
1160,0,-21.42638506,40.82492756
1161,0,-21.42638506,43.96229292
1162,0,-21.42638506,46.86613309
1163,0,-21.42638506,49.09430159
1164,0,-21.42638506,51.26805436
1165,0,-21.42638506,53.5432737
1166,0,-21.42638506,55.59051574
1167,0,-21.42638506,57.57671597
1168,0,-21.42638506,59.29783413
1169,0,-21.42638506,60.91709481
1170,0,-21.42638506,62.43750435
1171,0,-21.42638506,63.67408995
1172,0,-21.42638506,64.879904
1173,0,-21.42638506,66.32769406
1174,0,-21.42638506,67.73660453
1175,0,-21.42638506,69.0462161
1176,0,-21.42638506,70.29441508
1177,0,-21.42638506,71.25101829
1178,0,-21.42638506,72.21810521
1179,0,-21.42638506,73.16960791
1180,0,-21.42638506,73.99754652
1181,0,-21.42638506,74.68497968
1182,0,-21.42638506,75.35715871
1183,0,-21.42638506,76.03646251
1184,0,-21.42638506,76.75337554
1185,0,-21.42638506,77.54187129
1186,0,-21.42638506,78.27977574
1187,0,-21.42638506,78.85239389
1188,0,-21.42638506,79.40300595
1189,0,-21.42638506,80.04970439
1190,0,-21.42638506,80.68365178
1191,0,-21.42638506,81.34360036
1192,0,-21.42638506,82.01067319
1193,0,-21.42638506,82.70606076
1194,0,-21.42638506,83.22036288
1195,0,-21.42638506,83.67489817
1196,0,-21.42638506,84.06544451
1197,0,-21.42638506,84.48273976
1198,0,-21.42638506,84.97046912
1199,0,-21.42638506,85.43817662
1200,0,-21.42638506,85.93582522
1201,0,-21.42638506,86.56041524
1202,0,-21.42638506,87.11139534
1203,0,-21.42638506,87.70832972
1204,0,-21.42638506,88.21745243
1205,0,-21.42638506,88.55809125
1206,0,-21.42638506,88.90633196
1207,0,-21.42638506,89.20064147
1208,0,-21.42638506,89.55314053
1209,0,-21.42638506,90.00961751
1210,0,-21.42638506,90.41936478
1211,0,-21.42638506,90.81915642
1212,0,-21.42638506,91.18654394
1213,0,-21.42638506,91.48764414
1214,0,-21.42638506,91.78037987
1215,0,-21.42638506,92.07483705
1216,0,-21.42638506,92.46687206
1217,0,-21.42638506,92.96367133
1218,0,-21.42638506,93.25553758
1219,0,-21.42638506,93.45105262
1220,0,-21.42638506,93.63836107
1221,0,-21.42638506,93.82895957
1222,0,-21.42638506,93.99044901
1223,0,-21.42638506,94.0875717
1224,0,-21.42638506,94.20967089
1225,0,-21.42638506,94.36872422
1226,0,-21.42638506,94.50412388
1227,0,-21.42638506,94.66546575
1228,0,-21.42638506,94.76990549
1229,0,-21.42638506,94.89756168
1230,0,-21.42638506,95.06044479
1231,0,-21.42638506,95.19847001
1232,0,-21.42638506,95.36162315
1233,0,-21.42638506,95.49932701
1234,0,-21.42638506,95.66220708
1235,0,-21.42638506,95.7676794
1236,0,-21.42638506,95.89606458
1237,0,-21.42638506,96.0594396
1238,0,-21.42638506,96.19779355
1239,0,-21.42638506,96.36115667
1240,0,-21.42638506,96.49900954
1241,0,-21.42638506,96.69404702
1242,0,-21.42638506,96.89803584
1243,0,-21.42638506,97.10129165
1244,0,-21.42638506,97.2714824
1245,0,-21.42638506,97.37454808
1246,0,-21.42638506,97.43665575
1247,0,-21.42638506,97.43362905
1248,0,-21.42638506,97.42360045
1249,0,-21.42638506,97.38410421
1250,0,-21.42638506,97.31258606
1251,0,-21.42638506,97.30068687
1252,0,-21.42638506,97.29988937
1253,0,-21.42638506,97.26780987
1254,0,-21.42638506,97.16937263
1255,0,-21.42638506,97.06252869
1256,0,-21.42638506,96.95727087
1257,0,-21.42638506,96.82156813
1258,0,-21.42638506,96.58855678
1259,0,-21.42638506,96.28151458
1260,0,-21.42638506,95.93615559
1261,0,-21.42638506,95.59207407
1262,0,-21.42638506,95.37540971
1263,0,-21.42638506,95.2113475
1264,0,-21.42638506,95.08154897
1265,0,-21.42638506,94.92469735
1266,0,-21.42638506,94.79134576
1267,0,-21.42638506,94.59941605
1268,0,-21.42638506,94.42955656
1269,0,-21.42638506,94.35818725
1270,0,-21.42638506,94.3301944
1271,0,-21.42638506,94.27506193
1272,0,-21.42638506,94.21089253
1273,0,-21.42638506,94.02133879
1274,0,-21.42638506,93.71704183
1275,0,-21.42638506,93.18288789
1276,0,-21.42638506,92.49599466
1277,0,-21.42638506,91.70570313
1278,0,-21.42638506,90.97055464
1279,0,-21.42638506,90.28564957
1280,0,-21.42638506,89.64151939
1281,0,-21.42638506,88.97484301
1282,0,-21.42638506,88.3664921
1283,0,-21.42638506,87.73690088
1284,0,-21.42638506,87.04084097
1285,0,-21.42638506,86.33513383
1286,0,-21.42638506,85.63056265
1287,0,-21.42638506,84.95888266
1288,0,-21.42638506,84.35470147
1289,0,-21.42638506,83.76029147
1290,0,-21.42638506,83.16477042
1291,0,-21.42638506,82.56782114
1292,0,-21.42638506,81.969874
1293,0,-21.42638506,81.37119659
1294,0,-21.42638506,80.77198594
1295,0,-21.42638506,80.17245143
1296,0,-21.42638506,79.60379709
1297,0,-21.42638506,79.16528633
1298,0,-21.42638506,78.86893182
1299,0,-21.42638506,78.58850275
1300,0,-21.42638506,78.30316565
1301,0,-21.42638506,78.01326383
1302,0,-21.42638506,77.72015426
1303,0,-21.42638506,77.42484992
1304,0,-21.42638506,77.1280619
1305,0,-21.42638506,76.8302525
1306,0,-21.42638506,76.40760792
1307,0,-21.42638506,75.93588415
1308,0,-21.42638506,75.89155278
1309,0,-21.42638506,75.88937601
1310,0,-21.42638506,75.84752911
1311,0,-21.42638506,75.82420242
1312,0,-21.42638506,75.73956783
1313,0,-21.42638506,75.61062925
1314,0,-21.42638506,75.38222437
1315,0,-21.42638506,75.10866799
1316,0,-21.42638506,74.86259719
1317,0,-21.42638506,74.46945763
1318,0,-21.42638506,73.9302586
1319,0,-21.42638506,73.49660173
1320,0,-21.42638506,73.2756626
1321,0,-21.42638506,73.55219835
1322,0,-21.42638506,74.21404754
1323,0,-21.42638506,75.25852436
1324,0,-21.42638506,76.65304108
1325,0,-21.42638506,78.29303331
1326,0,-21.42638506,79.75467426
1327,0,-21.42638506,80.72045995
1328,0,-21.42638506,81.13486296
1329,0,-21.42638506,81.22996002
1330,0,-21.42638506,81.1767537
1331,0,-21.42638506,81.12212255
1332,0,-21.42638506,81.08345143
1333,0,-21.42638506,81.0250242
1334,0,-21.42638506,80.84467374
1335,0,-21.42638506,80.52848943
1336,0,-21.42638506,80.20059404
1337,0,-21.42638506,79.94373967
1338,0,-21.42638506,79.82637034
1339,0,-21.42638506,79.76274525
1340,0,-21.42638506,79.76558294
1341,0,-21.42638506,79.80771889
1342,0,-21.42638506,79.91391149
